№;Герб;Город;Регион;Федеральный округ;Население;Основание илипервое упоминание;Статус города[4];Прежние названия
282;;Еманжелинск;Челябинская область;Уральский;27 632;1931;1951;
283;;Емва;Коми;Северо-Западный;10 994;1941;1985;
284;;Енисейск;Красноярский край;Сибирский;17 537;1619;1676;
285;;Ермолино;Калужская область;Центральный;10 809;1601;2008;
286;;Ершов;Саратовская область;Приволжский;18 095;1893;1963;
287;;Ессентуки;Ставропольский край;Северо-Кавказский;119 658;1825;1917;Ессентукская
288;;Ефремов;Тульская область;Центральный;36 545;1637;1777;
289;;Железноводск;Ставропольский край;Северо-Кавказский;22 863;1810;1917;
290;;Железногорск;Красноярский край;Сибирский;82 723;1950;1954;
291;;Железногорск;Курская область;Центральный;97 038;1957;1962;
292;;Железногорск-Илимский;Иркутская область;Сибирский;21 621;1948;1965;
293;;Жердевка;Тамбовская область;Центральный;13 883;1745;1954;
294;;Жигулёвск;Самарская область;Приволжский;50 466;1949;1952;
295;;Жиздра;Калужская область;Центральный;5545;1146;1777;
296;;Жирновск;Волгоградская область;Южный;15 555;;1958;
297;;Жуков;Калужская область;Центральный;16 224;;1996;
298;;Жуковка;Брянская область;Центральный;17 628;1871;1962;
299;;Жуковский;Московская область;Центральный;111 222;1935;1947;
300;;Завитинск;Амурская область;Дальневосточный;9615;1906;1954;
301;;Заводоуковск;Тюменская область;Уральский;27 100;1729;1960;
302;;Заволжск;Ивановская область;Центральный;8896;;1954;
303;;Заволжье;Нижегородская область;Приволжский;36 763;1947;1964;Пестово
304;;Задонск;Липецкая область;Центральный;9887;1615;1779;
305;;Заинск;Татарстан;Приволжский;39 739;1656;1978;
306;;Закаменск;Бурятия;Сибирский;11 365;1934;1944;
307;;Заозёрный;Красноярский край;Сибирский;10 573;1776;1948;
308;;Заозёрск;Мурманская область;Северо-Западный;7762;1958;1958;
309;;Западная Двина;Тверская область;Центральный;7869;1900;1937;
310;;Заполярный;Мурманская область;Северо-Западный;14 791;1956;1963;
311;;Зарайск;Московская область;Центральный;20 736;1146;1778;
312;;Заречный;Пензенская область;Приволжский;58 510;1958;1958;
313;;Заречный;Свердловская область;Уральский;28 112;1955;1992;
314;;Заринск;Алтайский край;Сибирский;41 272;1748;1979;
315;;Звенигово;Марий Эл;Приволжский;10 994;1860;1974;
316;;Звенигород;Московская область;Центральный;35 842;1152;1781;
317;;Зверево;Ростовская область;Южный;19 353;1819;1989;
318;;Зеленогорск;Красноярский край;Сибирский;54 279;1956;1956;
319;;Зеленоградск;Калининградская область;Северо-Западный;16 625;1252;1947;
320;;Зеленодольск;Татарстан;Приволжский;99 137;1865;1932;
321;;Зеленокумск;Ставропольский край;Северо-Кавказский;33 187;1781;1965;
322;;Зерноград;Ростовская область;Южный;24 076;1929;1951;
323;;Зея;Амурская область;Дальневосточный;19 414;1879;1907;
324;;Зима;Иркутская область;Сибирский;30 640;1743;1922;
325;;Златоуст;Челябинская область;Уральский;161 774;1754;1865;
326;;Злынка;Брянская область;Центральный;5270;1702;1925;
327;;Змеиногорск;Алтайский край;Сибирский;9410;1736;1952;
328;;Знаменск;Астраханская область;Южный;24 628;1948;1962;
329;;Зубцов;Тверская область;Центральный;6217;1216;1216;
330;;Зуевка;Кировская область;Приволжский;9767;1899;1944;
331;;Ивангород;Ленинградская область;Северо-Западный;9861;1492;1954;
332;;Иваново;Ивановская область;Центральный;361 644;1561;1871;
333;;Ивантеевка;Московская область;Центральный;82 827;1564;1938;
334;;Ивдель;Свердловская область;Уральский;14 306;1831;1943;Никито-Ивдель
335;;Игарка;Красноярский край;Сибирский;3634;1929;1931;
336;;Ижевск;Удмуртия;Приволжский;623 472;1760;1918;
337;;Избербаш;Дагестан;Северо-Кавказский;55 996;1932;1949;
338;;Изобильный;Ставропольский край;Северо-Кавказский;38 614;1895;1965;
339;;Иланский;Красноярский край;Сибирский;15 945;1646;1939;
340;;Инза;Ульяновская область;Приволжский;16 293;1897;1946;
341;;Иннополис;Татарстан;Приволжский;3955;2012;2015;
342;;Инсар;Мордовия;Приволжский;7920;1648;1780;
343;;Инта;Коми;Северо-Западный;20 271;1940;1954;
344;;Ипатово;Ставропольский край;Северо-Кавказский;26 122;1860;1979;
345;;Ирбит;Свердловская область;Уральский;37 009;1631;1775;
346;;Иркутск;Иркутская область;Сибирский;617 264;1661;1686;
347;;Исилькуль;Омская область;Сибирский;20 515;1895;1945;Исиль-Куль
348;;Искитим;Новосибирская область;Сибирский;57 147;1717;1938;
349;;Истра;Московская область;Центральный;37 474;1589;1781;
350;;Ишим;Тюменская область;Уральский;67 614;1687;1782;
351;;Ишимбай;Башкортостан;Приволжский;64 041;1932;1940;
352;;Йошкар-Ола;Марий Эл;Приволжский;281 248;1584;1781;
353;;Кадников;Вологодская область;Северо-Западный;4106;1492;1780;
354;;Казань;Татарстан;Приволжский;1 308 660;1005;1005;
355;;Калач;Воронежская область;Центральный;17 624;1716;1945;
356;;Калач-на-Дону;Волгоградская область;Южный;24 277;1708;1951;
357;;Калачинск;Омская область;Сибирский;21 378;1952;1918;
358;;Калининград;Калининградская область;Северо-Западный;490 449;1255;1255;
359;;Калининск;Саратовская область;Приволжский;14 949;1680;1962;
360;;Калтан;Кемеровская область;Сибирский;21 752;1946;1959;
361;;Калуга;Калужская область;Центральный;337 058;1371;1371;
362;;Калязин;Тверская область;Центральный;12 621;1434;1775;
363;;Камбарка;Удмуртия;Приволжский;10 080;1767;1945;
364;;Каменка;Пензенская область;Приволжский;33 491;;1951;
365;;Каменногорск;Ленинградская область;Северо-Западный;7160;1597;1940;
366;;Каменск-Уральский;Свердловская область;Уральский;164 192;1682;1935;
367;;Каменск-Шахтинский;Ростовская область;Южный;86 365;1671;1927;
368;;Камень-на-Оби;Алтайский край;Сибирский;32 385;1751;1915;
369;;Камешково;Владимирская область;Центральный;12 028;1892;1951;Авдотьино
370;;Камызяк;Астраханская область;Южный;16 154;1560;1973;
371;;Камышин;Волгоградская область;Южный;107 927;1668;1780;
372;;Камышлов;Свердловская область;Уральский;27 117;1668;1781;
373;;Канаш;Чувашия;Приволжский;44 354;1892;1925;
374;;Кандалакша;Мурманская область;Северо-Западный;29 138;1517;1938;
375;;Канск;Красноярский край;Сибирский;86 816;1636;1782;
376;;Карабаново;Владимирская область;Центральный;13 150;1630;1938;
377;;Карабаш;Челябинская область;Уральский;10 514;1822;1933;
378;;Карабулак;Ингушетия;Северо-Кавказский;43 037;1859;1995;
379;;Карасук;Новосибирская область;Сибирский;24 890;1912;1954;
380;;Карачаевск;Карачаево-Черкесия;Северо-Кавказский;23 867;1926;1929;
381;;Карачев;Брянская область;Центральный;17 449;1146;1146;Корачев
382;;Каргат;Новосибирская область;Сибирский;8316;;1965;
383;;Каргополь;Архангельская область;Северо-Западный;8849;1447;1613;
384;;Карпинск;Свердловская область;Уральский;25 879;1759;1941;
385;;Карталы;Челябинская область;Уральский;27 103;1810;1944;
386;;Касимов;Рязанская область;Центральный;28 443;1152;1152;
387;;Касли;Челябинская область;Уральский;15 383;1747;1942;Каслинский
388;;Каспийск;Дагестан;Северо-Кавказский;121 140;1932;1947;
389;;Катав-Ивановск;Челябинская область;Уральский;14 663;1755;1938;
390;;Катайск;Курганская область;Уральский;11 881;1655;1944;
391;;Качканар;Свердловская область;Уральский;37 307;1957;1968;
392;;Кашин;Тверская область;Центральный;14 113;1238;1238;
393;;Кашира;Московская область;Центральный;45 922;1356;1777;
394;;Кедровый;Томская область;Сибирский;1818;1982;1987;
395;;Кемерово;Кемеровская область;Сибирский;557 119;1918;1918;
396;;Кемь;Карелия;Северо-Западный;10 018;;1785;
397;;;Крым;Южный;154 621;;;
398;;Кизел;Пермский край;Приволжский;15 619;1750;1926;Кизеловский завод
399;;Кизилюрт;Дагестан;Северо-Кавказский;38 335;1927;1963;
400;;Кизляр;Дагестан;Северо-Кавказский;49 999;1735;1785;
401;;Кимовск;Тульская область;Центральный;26 475;;1952;
402;;Кимры;Тверская область;Центральный;40 875;1546;1917;
403;;Кингисепп;Ленинградская область;Северо-Западный;49 716;1384;1784;
404;;Кинель;Самарская область;Приволжский;36 729;1837;1944;
405;;Кинешма;Ивановская область;Центральный;77 694;1429;1504;
406;;Киреевск;Тульская область;Центральный;25 560;1762;1956;Киреевка
407;;Киренск;Иркутская область;Сибирский;10 998;1630;1775;
408;;Киржач;Владимирская область;Центральный;27 318;1332;1778;
409;;Кириллов;Вологодская область;Северо-Западный;7149;1397;1776;
410;;Кириши;Ленинградская область;Северо-Западный;51 028;1693;1965;
411;;Киров;Калужская область;Центральный;28 097;1745;1936;
412;;Киров;Кировская область;Приволжский;468 212;1181;1181;
413;;Кировград;Свердловская область;Уральский;18 698;1661;1932;
414;;Кирово-Чепецк;Кировская область;Приволжский;66 651;1935;1955;
415;;Кировск;Ленинградская область;Северо-Западный;27 238;1931;1953;
416;;Кировск;Мурманская область;Северо-Западный;24 857;1929;1931;
